0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
8.0,42.0,2379.0,48.0,67.0,56.0,402.0,6076.0,38.0,567.0,5752.0,67.0,401.0,8.0,54.0,1918.0,8.0,283.0,3439.0,207.0,224.0,799.0,1347.0,701.0,16.0,1.0,400.0,244.0,97.0,14.0
17.0,17.0,2414.0,60.0,72.0,41.0,435.0,5865.0,17.0,446.0,5164.0,48.0,497.0,4.0,75.0,1957.0,4.0,316.0,3253.0,239.0,219.0,823.0,1192.0,612.0,13.0,1.0,439.0,254.0,71.0,24.0
17.0,16.0,2229.0,43.0,105.0,53.0,412.0,5707.0,30.0,448.0,5749.0,60.0,459.0,8.0,65.0,1898.0,5.0,196.0,3271.0,203.0,246.0,769.0,1337.0,568.0,15.0,4.0,387.0,292.0,75.0,20.0
32.0,20.0,2160.0,39.0,93.0,47.0,438.0,5286.0,13.0,442.0,4803.0,71.0,404.0,4.0,66.0,1458.0,2.0,141.0,3022.0,191.0,104.0,846.0,1170.0,593.0,14.0,2.0,327.0,236.0,76.0,19.0
35.0,53.0,2793.0,40.0,119.0,44.0,668.0,6555.0,12.0,554.0,5050.0,66.0,572.0,8.0,63.0,1739.0,5.0,176.0,3180.0,168.0,103.0,1066.0,1434.0,663.0,23.0,8.0,453.0,306.0,109.0,53.0
22.0,40.0,2538.0,50.0,113.0,54.0,487.0,5748.0,28.0,540.0,5069.0,62.0,507.0,3.0,61.0,1767.0,4.0,289.0,2893.0,187.0,194.0,790.0,1252.0,649.0,23.0,1.0,459.0,249.0,100.0,29.0
28.0,24.0,2294.0,39.0,80.0,40.0,407.0,5699.0,24.0,512.0,5197.0,54.0,401.0,8.0,66.0,1694.0,7.0,262.0,2983.0,192.0,206.0,809.0,1136.0,478.0,19.0,2.0,440.0,237.0,79.0,21.0
31.0,39.0,2153.0,73.0,104.0,35.0,523.0,5810.0,28.0,440.0,4376.0,91.0,433.0,10.0,67.0,1630.0,114.0,370.0,2674.0,155.0,214.0,767.0,1329.0,445.0,15.0,7.0,381.0,297.0,72.0,17.0
21.0,23.0,2481.0,65.0,73.0,34.0,444.0,5721.0,18.0,528.0,4961.0,53.0,615.0,6.0,92.0,1707.0,3.0,317.0,2911.0,177.0,280.0,775.0,1181.0,426.0,12.0,10.0,385.0,193.0,68.0,15.0
14.0,37.0,1984.0,74.0,89.0,41.0,454.0,5439.0,32.0,507.0,4657.0,63.0,561.0,14.0,69.0,1582.0,9.0,212.0,2945.0,179.0,199.0,780.0,1219.0,521.0,20.0,4.0,370.0,233.0,77.0,14.0
